[16:32:17.943] [INFO] ScreenCaptureService onCreate
[16:32:17.945] [INFO] onStartCommand engine=NCNN resultCode=-1
[16:32:17.991] [INFO] Model loaded: NCNN
[16:32:18.007] [INFO] Detection started, resolution=1264x2780
[16:32:40.493] [PERF] latency=47ms, fps=12.0, objects=0
[16:32:40.560] [PERF] latency=46ms, fps=12.0, objects=0
[16:32:40.625] [PERF] latency=44ms, fps=12.0, objects=0
[16:32:40.696] [PERF] latency=48ms, fps=13.0, objects=0
[16:32:40.761] [PERF] latency=47ms, fps=13.0, objects=0
[16:32:40.827] [PERF] latency=45ms, fps=13.0, objects=0
[16:32:40.897] [PERF] latency=50ms, fps=13.0, objects=0
[16:32:40.975] [PERF] latency=47ms, fps=13.0, objects=0
[16:32:41.039] [PERF] latency=43ms, fps=14.0, objects=0
[16:32:41.110] [PERF] latency=49ms, fps=14.0, objects=0
[16:32:41.176] [PERF] latency=48ms, fps=14.0, objects=0
[16:32:41.239] [PERF] latency=44ms, fps=15.0, objects=0
[16:32:41.330] [PERF] latency=67ms, fps=15.0, objects=0
[16:32:41.406] [PERF] latency=45ms, fps=15.0, objects=0
[16:32:41.476] [PERF] latency=46ms, fps=15.0, objects=0
[16:32:41.544] [PERF] latency=49ms, fps=15.0, objects=0
[16:32:41.609] [PERF] latency=47ms, fps=15.0, objects=0
[16:32:41.676] [PERF] latency=47ms, fps=15.0, objects=0
[16:32:41.752] [PERF] latency=58ms, fps=15.0, objects=0
[16:32:41.832] [PERF] latency=54ms, fps=14.0, objects=0
[16:32:41.922] [PERF] latency=59ms, fps=14.0, objects=0
[16:32:42.029] [PERF] latency=80ms, fps=14.0, objects=0
[16:32:42.130] [PERF] latency=71ms, fps=13.0, objects=0
[16:32:42.220] [PERF] latency=63ms, fps=13.0, objects=0
[16:32:42.305] [PERF] latency=63ms, fps=13.0, objects=0
[16:32:42.396] [PERF] latency=65ms, fps=13.0, objects=0
[16:32:42.492] [PERF] latency=68ms, fps=12.0, objects=0
[16:32:42.584] [PERF] latency=60ms, fps=12.0, objects=0
[16:32:42.659] [PERF] latency=51ms, fps=12.0, objects=0
[16:32:42.741] [PERF] latency=48ms, fps=12.0, objects=0
[16:32:42.810] [PERF] latency=51ms, fps=12.0, objects=0
[16:32:42.917] [PERF] latency=76ms, fps=12.0, objects=0
[16:32:43.000] [PERF] latency=59ms, fps=12.0, objects=0
[16:32:43.087] [PERF] latency=60ms, fps=12.0, objects=0
[16:32:43.169] [PERF] latency=60ms, fps=12.0, objects=0
[16:32:43.257] [PERF] latency=64ms, fps=12.0, objects=0
[16:32:43.344] [PERF] latency=54ms, fps=12.0, objects=0
[16:32:43.432] [PERF] latency=56ms, fps=12.0, objects=0
[16:32:43.509] [PERF] latency=52ms, fps=12.0, objects=0
[16:32:43.589] [PERF] latency=48ms, fps=12.0, objects=0
[16:32:43.651] [PERF] latency=45ms, fps=13.0, objects=0
[16:32:43.719] [PERF] latency=46ms, fps=13.0, objects=0
[16:32:43.786] [PERF] latency=46ms, fps=13.0, objects=0
[16:32:43.849] [PERF] latency=42ms, fps=13.0, objects=0
[16:32:43.916] [PERF] latency=44ms, fps=14.0, objects=0
[16:32:43.977] [PERF] latency=39ms, fps=14.0, objects=0
[16:32:44.043] [PERF] latency=40ms, fps=14.0, objects=0
[16:32:44.112] [PERF] latency=41ms, fps=14.0, objects=0
[16:32:44.179] [PERF] latency=41ms, fps=14.0, objects=0
[16:32:44.243] [PERF] latency=39ms, fps=15.0, objects=0
[16:32:44.309] [PERF] latency=38ms, fps=15.0, objects=0
[16:32:44.401] [PERF] latency=63ms, fps=15.0, objects=0
[16:32:44.472] [PERF] latency=51ms, fps=15.0, objects=0
[16:32:44.568] [PERF] latency=63ms, fps=15.0, objects=0
[16:32:44.648] [PERF] latency=63ms, fps=15.0, objects=0
[16:32:44.724] [PERF] latency=53ms, fps=14.0, objects=0
[16:32:44.810] [PERF] latency=57ms, fps=14.0, objects=0
[16:32:44.897] [PERF] latency=55ms, fps=14.0, objects=0
[16:32:44.976] [PERF] latency=55ms, fps=14.0, objects=0
[16:32:45.053] [PERF] latency=50ms, fps=13.0, objects=0
[16:32:45.131] [PERF] latency=61ms, fps=13.0, objects=0
[16:32:45.209] [PERF] latency=56ms, fps=13.0, objects=0
[16:32:45.294] [PERF] latency=58ms, fps=13.0, objects=0
[16:32:45.377] [PERF] latency=58ms, fps=13.0, objects=0
[16:32:45.460] [PERF] latency=58ms, fps=13.0, objects=0
[16:32:45.534] [PERF] latency=57ms, fps=13.0, objects=0
[16:32:45.613] [PERF] latency=60ms, fps=13.0, objects=0
[16:32:45.703] [PERF] latency=63ms, fps=13.0, objects=0
[16:32:45.786] [PERF] latency=51ms, fps=13.0, objects=0
[16:32:45.879] [PERF] latency=62ms, fps=13.0, objects=0
[16:32:45.957] [PERF] latency=56ms, fps=13.0, objects=0
[16:32:46.047] [PERF] latency=63ms, fps=13.0, objects=0
[16:32:46.137] [PERF] latency=65ms, fps=12.0, objects=0
[16:32:46.224] [PERF] latency=56ms, fps=12.0, objects=0
[16:32:46.313] [PERF] latency=63ms, fps=12.0, objects=0
[16:32:46.383] [PERF] latency=47ms, fps=12.0, objects=0
[16:32:46.485] [PERF] latency=79ms, fps=12.0, objects=0
[16:32:46.574] [PERF] latency=55ms, fps=12.0, objects=0
[16:32:46.659] [PERF] latency=58ms, fps=12.0, objects=0
[16:32:46.741] [PERF] latency=57ms, fps=12.0, objects=0
[16:32:46.828] [PERF] latency=60ms, fps=12.0, objects=0
[16:32:46.906] [PERF] latency=57ms, fps=12.0, objects=0
[16:32:46.987] [PERF] latency=54ms, fps=12.0, objects=0
[16:32:47.067] [PERF] latency=50ms, fps=12.0, objects=0
[16:32:47.157] [PERF] latency=59ms, fps=12.0, objects=0
[16:32:47.254] [PERF] latency=56ms, fps=12.0, objects=0
[16:32:47.330] [PERF] latency=49ms, fps=12.0, objects=0
[16:32:47.398] [PERF] latency=48ms, fps=12.0, objects=0
[16:32:47.476] [PERF] latency=59ms, fps=13.0, objects=0
[16:32:47.557] [PERF] latency=58ms, fps=13.0, objects=0
[16:32:47.631] [PERF] latency=50ms, fps=13.0, objects=0
[16:32:47.696] [PERF] latency=49ms, fps=13.0, objects=0
[16:32:47.771] [PERF] latency=58ms, fps=13.0, objects=0
[16:32:47.864] [PERF] latency=67ms, fps=13.0, objects=0
[16:32:47.948] [PERF] latency=51ms, fps=13.0, objects=0
